iter	SurvivalAft	SurvivalAft:dist=Extreme;scale=2
0	3.447559514	3.447559514
1	3.413247273	3.413247273
2	3.375154663	3.375154663
3	3.320731158	3.320731158
4	3.268229236	3.268229236
5	3.208570525	3.208570525
6	3.162591477	3.162591477
7	3.101091421	3.101091421
8	3.046432796	3.046432796
9	2.980656307	2.980656307
10	2.917747564	2.917747564
11	2.857580835	2.857580835
12	2.788632863	2.788632863
13	2.727319327	2.727319327
14	2.652769083	2.652769083
15	2.596645795	2.596645795
16	2.527142657	2.527142657
17	2.472490504	2.472490504
18	2.39556955	2.39556955
19	2.349159957	2.349159957
20	2.292187959	2.292187959
21	2.215057084	2.215057084
22	2.148753017	2.148753017
23	2.0623642	2.0623642
24	1.97603608	1.97603608
25	1.887846501	1.887846501
26	1.828386862	1.828386862
27	1.739839061	1.739839061
28	1.680631799	1.680631799
29	1.603431522	1.603431522
30	1.537417913	1.537417913
31	1.46853239	1.46853239
32	1.394193442	1.394193442
33	1.333090659	1.333090659
34	1.257963443	1.257963443
35	1.199484517	1.199484517
36	1.1328196	1.1328196
37	1.069278746	1.069278746
38	1.020105001	1.020105001
39	0.9783185444	0.9783185444
40	0.9371968032	0.9371968032
41	0.8942888755	0.8942888755
42	0.8630216721	0.8630216721
43	0.8303093588	0.8303093588
44	0.8045259413	0.8045259413
45	0.7917419968	0.7917419968
46	0.7853558807	0.7853558807
47	0.7799399347	0.7799399347
48	0.7803740192	0.7803740192
49	0.7846275676	0.7846275676
50	0.79792855	0.79792855
51	0.8115756096	0.8115756096
52	0.8343783249	0.8343783249
53	0.8647784158	0.8647784158
54	0.9000404957	0.9000404957
55	0.9401151582	0.9401151582
56	0.9595052494	0.9595052494
57	1.004782505	1.004782505
58	1.042827405	1.042827405
59	1.098978638	1.098978638
60	1.127987457	1.127987457
61	1.171470638	1.171470638
62	1.236131364	1.236131364
63	1.274176506	1.274176506
64	1.335351506	1.335351506
65	1.38907181	1.38907181
66	1.431722228	1.431722228
67	1.496885342	1.496885342
68	1.543743993	1.543743993
69	1.580996975	1.580996975
70	1.651208546	1.651208546
71	1.717075908	1.717075908
72	1.774821859	1.774821859
73	1.851262892	1.851262892
74	1.929281235	1.929281235
75	1.980584092	1.980584092
76	2.030351177	2.030351177
