iter	Passed	Remaining
0	0	202
1	1	292
2	1	283
3	1	240
4	2	232
5	2	206
6	3	217
7	3	203
8	3	212
9	4	208
10	4	202
11	5	205
12	5	203
13	5	205
14	6	199
15	6	206
16	7	207
17	7	213
18	8	209
19	8	212
20	9	216
21	9	212
22	10	215
23	10	210
24	10	206
25	10	200
26	11	202
27	11	197
28	12	197
29	12	197
30	13	198
31	13	200
32	14	199
33	14	201
34	14	198
35	15	198
36	15	195
37	15	192
38	16	193
39	16	194
40	17	195
41	17	193
42	18	194
43	18	194
44	18	191
45	19	192
46	19	190
47	20	191
48	20	192
49	21	192
50	21	189
51	22	189
52	22	187
53	22	185
54	22	183
55	23	184
56	23	184
57	24	183
58	24	183
59	24	180
60	25	181
61	25	182
62	25	179
63	26	179
64	26	178
65	27	178
66	27	179
67	27	177
68	28	178
69	29	178
70	29	177
71	29	175
72	30	176
73	30	174
74	30	173
75	31	173
76	31	173
77	32	174
78	32	174
79	33	174
80	33	173
81	33	172
82	34	171
83	34	171
84	35	171
85	35	170
86	35	168
87	35	167
88	35	165
89	36	166
90	36	165
91	37	166
92	37	166
93	38	165
94	38	164
95	38	164
96	39	162
97	39	161
98	39	162
99	40	160
100	40	159
101	40	158
102	41	158
103	41	159
104	42	158
105	42	158
106	42	157
107	43	156
108	43	155
109	43	155
110	44	154
111	44	153
112	44	151
113	44	152
114	45	151
115	45	150
116	46	151
117	46	150
118	47	151
119	47	150
120	48	150
121	48	149
122	48	148
123	48	147
124	48	146
125	49	145
126	49	144
127	49	144
128	49	143
129	50	142
130	50	142
131	51	142
132	51	142
133	52	142
134	52	141
135	52	141
136	53	141
137	53	141
138	54	141
139	54	140
140	55	140
141	55	140
142	56	140
143	56	140
144	57	139
145	57	139
146	58	139
147	58	139
148	58	138
149	59	138
150	59	138
151	60	138
152	60	138
153	61	138
154	62	138
155	62	137
156	63	137
157	63	137
158	63	137
159	64	136
160	64	136
161	65	136
162	65	135
163	66	135
164	66	135
165	67	134
166	67	134
167	67	134
168	68	133
169	68	133
170	69	133
171	69	132
172	70	132
173	70	132
174	71	132
175	71	132
176	72	132
177	72	131
178	73	131
179	73	130
180	74	130
181	74	130
182	75	129
183	75	129
184	76	129
185	76	129
186	77	129
187	77	128
188	77	127
189	78	127
190	78	127
191	79	127
192	79	126
193	80	126
194	80	126
195	81	125
196	81	125
197	82	125
198	82	125
199	83	124
200	83	124
201	84	124
202	84	124
203	85	123
204	85	123
205	86	123
206	86	123
207	87	122
208	87	122
209	88	122
210	88	121
211	89	121
212	89	120
213	90	120
214	90	120
215	91	119
216	91	119
217	92	119
218	92	118
219	93	118
220	93	118
221	94	118
222	94	117
223	95	117
224	95	117
225	96	116
226	96	116
227	97	116
228	97	115
229	98	115
230	98	115
231	99	114
232	99	114
233	100	114
234	100	113
235	101	113
236	101	113
237	102	112
238	103	112
239	103	112
240	104	111
241	104	111
242	105	111
243	105	110
244	106	110
245	106	109
246	106	109
247	107	109
248	107	108
249	108	108
250	108	107
251	109	107
252	109	107
253	110	106
254	110	106
255	111	106
256	111	105
257	112	105
258	113	105
259	113	104
260	114	104
261	114	104
262	115	103
263	115	103
264	115	102
265	116	102
266	116	101
267	117	101
268	117	101
269	118	100
270	118	100
271	119	99
272	119	99
273	120	99
274	120	98
275	121	98
276	121	98
277	122	97
278	122	97
279	123	96
280	123	96
281	124	96
282	124	95
283	125	95
284	125	94
285	126	94
286	126	93
287	127	93
288	127	93
289	128	92
290	128	92
291	129	91
292	129	91
293	130	91
294	130	90
295	131	90
296	131	89
297	132	89
298	132	89
299	133	88
300	133	88
301	134	87
302	134	87
303	135	87
304	135	86
305	136	86
306	136	85
307	136	85
308	137	84
309	137	84
310	138	84
311	138	83
312	139	83
313	139	82
314	140	82
315	140	81
316	141	81
317	141	81
318	142	80
319	142	80
320	142	79
321	143	79
322	143	78
323	144	78
324	144	77
325	145	77
326	145	77
327	146	76
328	146	76
329	147	75
330	147	75
331	148	74
332	148	74
333	148	74
334	149	73
335	149	73
336	150	72
337	150	72
338	151	71
339	151	71
340	152	70
341	152	70
342	153	70
343	153	69
344	154	69
345	154	68
346	154	68
347	155	67
348	155	67
349	156	66
350	156	66
351	157	66
352	157	65
353	158	65
354	158	64
355	159	64
356	159	63
357	160	63
358	160	63
359	161	62
360	161	62
361	162	61
362	162	61
363	163	60
364	163	60
365	164	60
366	164	59
367	165	59
368	165	58
369	166	58
370	166	57
371	166	57
372	167	56
373	167	56
374	168	56
375	168	55
376	169	55
377	169	54
378	170	54
379	170	53
380	171	53
381	171	53
382	172	52
383	172	52
384	173	51
385	173	51
386	173	50
387	174	50
388	174	49
389	175	49
390	175	49
391	176	48
392	177	48
393	177	47
394	178	47
395	178	46
396	179	46
397	179	46
398	180	45
399	181	45
